date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Aug%202022%2019:23:04%20GMT	https://beruang4d.com/robots.txt		(from )
02:23:04	15931/15931	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2005:16:05%20GMT	https://beruang4d.com/	C:/My%20Web%20Sites/Landing2/beruang4d.com/index.html	(from )
02:23:05	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Aug%202022%2019:23:04%20GMT	https://beruang4d.com/assets/img/icon.ico	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/icon.ico	(from https://beruang4d.com/)
02:23:08	172075/172075	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2007:37:48%20GMT	https://beruang4d.com/assets/img/logo22.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/logo22.png	(from https://beruang4d.com/)
02:23:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Aug%202022%2019:23:07%20GMT	https://beruang4d.com/amp/pav/pav.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/amp/pav/pav.3.delayed	(from https://beruang4d.com/)
02:23:08	172075/172075	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2007:37:16%20GMT	https://beruang4d.com/assets/img/logo11.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/logo11.png	(from https://beruang4d.com/)
02:23:08	111982/111982	---M--	200	added ('OK')	text/javascript	etag:%22d58685e75d10bc01%22	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	C:/My%20Web%20Sites/Landing2/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from https://beruang4d.com/)
02:23:09	282476/282476	---M--	200	added ('OK')	text/javascript	etag:%22ec7f27bcbc8eefcb%22	https://cdn.ampproject.org/v0.js	C:/My%20Web%20Sites/Landing2/cdn.ampproject.org/v0.js	(from https://beruang4d.com/)
02:23:09	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Aug%202022%2019:23:09%20GMT	https://beruang4d.com/assets/fonts/BebasNeue.woff	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/fonts/BebasNeue.woff	(from https://beruang4d.com/)
02:23:10	13232/13232	---M--	200	added ('OK')	font/woff2	date:Thu,%2012%20Nov%202020%2020:02:10%20GMT	https://beruang4d.com/assets/fonts/BebasNeue.woff2	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/fonts/BebasNeue.woff2	(from https://beruang4d.com/)
02:23:10	15042/15042	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2012%20Nov%202020%2020:02:50%20GMT	https://beruang4d.com/assets/fonts/BebasNeue.eot	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/fonts/BebasNeue.eot	(from https://beruang4d.com/)
02:23:10	57624/57624	---M--	200	added ('OK')	font/ttf	date:Thu,%2012%20Nov%202020%2020:02:36%20GMT	https://beruang4d.com/assets/fonts/BebasNeue.ttf	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/fonts/BebasNeue.ttf	(from https://beruang4d.com/)
02:23:11	535/535	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Nov%202020%2020:10:00%20GMT	https://beruang4d.com/assets/img/register.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/register.png	(from https://beruang4d.com/)
02:23:11	608/608	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Nov%202020%2020:10:00%20GMT	https://beruang4d.com/assets/img/livechat.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/livechat.png	(from https://beruang4d.com/)
02:23:11	1420/1420	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Nov%202020%2020:10:00%20GMT	https://beruang4d.com/assets/img/whatsapp.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/whatsapp.png	(from https://beruang4d.com/)
02:23:12	1695/1695	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Nov%202020%2020:10:00%20GMT	https://beruang4d.com/assets/img/android.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/android.png	(from https://beruang4d.com/)
02:23:12	1508/1508	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Nov%202020%2020:10:00%20GMT	https://beruang4d.com/assets/img/ios.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/ios.png	(from https://beruang4d.com/)
02:23:13	6495/6495	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Nov%202020%2010:30:34%20GMT	https://beruang4d.com/assets/img/bank.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/bank.png	(from https://beruang4d.com/)
02:23:13	80455/80455	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2011:28:37%20GMT	https://beruang4d.com/assets/img/beruang.png	C:/My%20Web%20Sites/Landing2/beruang4d.com/assets/img/beruang.png	(from https://beruang4d.com/)
